i	#529053
n	#957383
ɕ	#4d6898
s	#8b6ba9
ɯ	#51813f
a	#5e9261
k	#4269a1
z	#799797
ø	#445f57
t	#693d8b
e	#458567
ɛ	#3b7781
ʁ	#987bbd
o	#785a54
ɑ̃	#505392
m	#6b6595
ɾ	#a277b4
d	#66569a
ʑ	#397252
ɑ	#52a776
ʌ	#728569
j	#5a5d6d
h	#617b76
l	#6c6074
p	#667077
ɔ	#569183
b	#77747c
ɡ	#6f6781
ɔ̃	#79548a
w	#707b86
ɫ	#487a7b
ɸ	#52d169
ŋ	#6e6c7e
y	#7e8177
v	#54698c
œ	#7d5b82
f	#74878b
g	#697a81
ç	#c94660
ɪ	#5c75a7
ʒ	#777d91
r	#5b785c
ɛ̃	#746283
ɥ	#576583
u	#5e797e
æ	#54978c
dʑ	#5b8f86
ɝ	#4e6a72
ə	#826382
tɕ	#63809c
ʃ	#586d83
eɪ	#5a7893
oʊ	#658b80
x	#9a4f7e
tɕʰ	#61688b
tʰ	#547189
ɑʊ	#8a7d8b
pʰ	#667f89
kʰ	#758296
ɲ	#609986
aɪ	#796f87
dʒ	#5c7569
ʂ	#6a975a
ʈʂ	#8b895f
ɨ	#5f9484
ʐ	#a44781
ts	#757d7a
aʊ	#636f6f
ʊ	#5ea48a
ɚ	#40328f
tʃ	#63909b
ʈʂʰ	#595778
ɰ	#67744a
̯	#7d5791
ɤ	#8d698a
ɪa	#5d6d92
θ	#599c83
tsʰ	#627397
k͈	#5d7b9c
ua	#538391
t͈	#8b6087
t̚	#7a72a0
bs	#41b47f
ð	#527e8f
ã	#5272a3
k̚	#7f826e
ʔ	#6a846d
s͈	#435980
t͈ɕ	#96785c
ɪo	#70898e
ɔɪ	#617aaa
ũ	#4c6676
p͈	#416f64
iu	#6b8e94
ui	#547d6a
p̚	#4c77a6
ɕ͈	#624389
ue	#715c9a
ɪaʊ	#5c4a7c
nh	#559b2c
â	#3f4b80
-	#586b82
ĩ	#61696a
̍ 	#709f3a
lg	#5d388d
lb	#6a3c5e
ô	#636c64
à	#3f317d
ndʑ	#cb4681
á	#606a5c
ā	#697d6f
lh	#34849b
̄ 	#b63b42
î	#5f7eba
ē	#663bad
lm	#327b29
ū	#69b476
gs	#8ac07b
uai	#62b594
í­	#a36a60
œ̃	#429e9f
ī	#85955a
ó	#629862
ò	#5461c0
ō	#396673
̂ 	#2bab54
ù	#8a705b
ú	#46a75e
ì	#9d927a
ltʰ	#bfcf40
è	#7f80c0
̃ 	#b6c79a
spʰatɕʰ	#cf7bc8
ê	#ad7672
ẽ	#5f7f3f
é	#855d7f
û	#b26b6d
lpʰ	#20441b
ě	#7e280f
ã	#99a08e
on	#857a72
ʈ	#328aa3
ʂʰ	#c08a2c
sʰ	#b963ac
ǐ	#159f72
ǎ	#1c4cb6
pɔ	#832a41
P	#d23e73
au	#e6ae8c
K	#e4513f
I	#7cdca9
J	#eb1f4b
ń	#9ed7ba
ǹ	#b6913e
