a	n	47527
ɕ	i	46934
s	ɯ	46496
k	ɯ	42930
k	a	42360
i	n	41194
a	i	32433
e	n	31061
a	k	30910
t	a	30735
o	k	29992
t	o	29714
k	o	28147
ɯ	ɾ	25936
i	k	25693
k	i	25216
ɾ	i	25123
d	ʑ	24986
ɾ	ɯ	24504
o	n	24354
ʌ	n	23673
t	s	23494
i	t	23478
a	t	21876
h	a	21627
s	a	21231
m	a	21003
s	e	20989
j	o	20964
a	d	20809
i	s	19948
a	ɾ	19848
ɾ	a	19712
i	d	19459
t	ɕ	19363
ɯ	t	19009
o	ɾ	18535
d	z	18298
m	i	17625
d	o	17523
ɯ	k	17417
n	a	17300
a	s	16682
o	t	16399
b	a	16204
e	k	15880
n	d	15750
t	i	15243
a	m	15238
n	t	14938
t	e	14882
ɕ	o	14723
e	t	14281
k	e	14109
d	e	14087
ʑ	i	14004
n	i	13964
j	a	13725
s	t	13671
s	o	13337
ɡ	a	13227
ɾ	o	13078
m	o	13011
d	a	12970
o	d	12836
n	o	12413
i	ɾ	12194
o	s	12095
k	j	11927
o	m	11917
ɾ	e	11854
m	e	11772
i	m	11736
ɯ	n	11271
n	s	11261
p	a	11207
n	k	11196
b	ɯ	11062
e	d	11006
e	ɾ	10785
ʌ	ɫ	10748
a	b	10684
w	a	10564
ɯ	s	10550
j	ɛ	10291
ɯ	d	10087
b	i	10064
ɛ	n	9977
ʁ	ə	9577
j	ɯ	9548
ɸ	ɯ	9319
ɯ	m	9266
a	l	9218
n	j	9031
ɕ	ɯ	8954
ɡ	ɯ	8922
ə	ʁ	8910
i	b	8837
a	ʁ	8794
a	ŋ	8753
o	ɕ	8680
h	o	8655
ʁ	a	8621
m	ɯ	8613
j	ʌ	8381
w	͍	8341
l	i	8287
ʁ	i	8282
t	ʁ	8093
d	i	8075
e	s	7972
i	ɕ	7818
b	o	7768
s	ʌ	7757
p	i	7745
n	e	7704
k	k	7581
ɯ	ɕ	7269
͍	a	7244
a	ɕ	7134
o	b	7116
j	i	7101
s	i	7052
ɡ	o	7032
p	ɯ	6967
n	ɕ	6896
i	z	6851
n	ɡ	6848
m	ʌ	6778
t	t	6521
ɕ	a	6466
ç	i	6361
ɪ	ŋ	6360
ʌ	s	6327
ɛ	ʁ	6250
ɡ	e	6212
z	ɯ	6183
z	a	6165
g	i	6100
a	p	6037
i	ɡ	6028
ə	t	6026
r	ʌ	6004
ɾ	j	5985
ʁ	e	5949
a	ɡ	5931
k	s	5921
t	ʌ	5905
o	ŋ	5875
e	m	5750
p	o	5739
ɛ	s	5660
s	j	5653
i	j	5651
ɫ	ʌ	5588
l	a	5510
ɑ	r	5388
o	ɡ	5377
ɛ	k	5353
r	i	5351
ɯ	b	5349
ɯ	i	5253
i	l	5207
ʌ	m	5190
ɔ	r	5171
g	a	5165
g	j	5083
n	ʌ	5077
ɪ	n	5071
k	ʌ	5045
a	g	5018
ʑ	o	5017
s	k	4972
p	ʁ	4952
ɫ	i	4837
n	b	4776
k	ɔ̃	4765
d	ʌ	4728
o	i	4678
i	ŋ	4663
ɪ	k	4634
æ	n	4621
t	ɛ	4600
ə	n	4556
o	l	4548
p	u	4504
f	a	4481
s	ɛ	4449
i	p	4444
ʁ	o	4423
b	e	4380
i	h	4357
n	p	4337
ʌ	t	4295
i	a	4293
ɔ	ʁ	4260
o	h	4260
o	p	4221
e	ʁ	4210
e	b	4197
dʑ	ʌ	4173
t	ə	4168
a	j	4122
j	u	4100
b	u	4055
ʑ	ɯ	4002
o	g	3961
ɯ	ɡ	3957
e	ɕ	3936
ʌ	ŋ	3919
w	e	3904
s	u	3868
s	p	3811
ʌ	b	3650
n	m	3648
u	l	3642
ə	m	3632
n	ɾ	3617
ɫ	ɪ	3611
n	z	3605
ʌ	d	3587
ɛ	ɫ	3584
n	h	3581
i	g	3574
z	o	3554
b	ʌ	3545
k	t	3542
z	e	3539
m	ɛ	3538
t	r	3500
e	p	3478
ɑ	n	3457
m	j	3456
s	ə	3455
i	ʁ	3448
p	e	3443
m	u	3429
t	ɝ	3411
h	e	3349
k	ʁ	3323
p	ɛ	3300
ə	ŋ	3258
ɛ	t	3229
r	ɪ	3225
m	ə	3216
ɛ	r	3190
d	w	3182
tɕ	j	3177
n	ɛ	3176
dʑ	i	3172
k	w	3169
d	ɛ	3154
l	ə	3147
y	ʁ	3127
n	n	3121
ʃ	ʌ	3097
t	ɪ	3092
ɯ	p	3072
p	p	3053
u	n	3045
f	i	3039
ʁ	ɛ	3039
ʌ	k	3038
i	o	3013
t	j	3003
f	ə	2957
ɕ	j	2942
ŋ	h	2925
g	ʁ	2923
ɝ	z	2920
k	ɑ	2903
ə	s	2883
v	i	2875
o	j	2839
ʌ	z	2830
ə	d	2809
p	l	2798
ɪ	s	2778
u	t	2775
g	o	2775
f	u	2733
k	ɔ	2725
p	j	2699
ʌ	g	2690
i	f	2635
ʁ	t	2624
j	e	2621
b	ɛ	2619
a	w	2612
b	ʁ	2606
y	l	2596
g	ɯ	2591
n	g	2577
h	w	2576
i	ʌ	2557
l	o	2552
eɪ	t	2523
r	ɛ	2519
e	g	2517
o	ʁ	2512
dʑ	a	2512
k	u	2482
s	y	2471
v	ɛ	2465
a	ɯ	2460
d	ɪ	2446
l	j	2442
r	oʊ	2431
ɪ	ɫ	2409
ɥ	i	2399
u	ʁ	2398
x	w	2390
tɕʰ	i	2371
r	æ	2369
tʰ	a	2343
u	s	2322
a	h	2319
t	w	2303
z	i	2279
i	v	2278
p	r	2274
ʌ	l	2235
j	ɑʊ	2212
tɕ	i	2210
ɛ	d	2207
tʰ	j	2206
